# Spatial-averaged data for fix zcnt_hi and group z_hi
# Timestep Number-of-bins
# Bin Coord Ncount v_temp
20810000 20
20950000 20
  1 0.025 966.74 325.066
  2 0.075 977.26 321.061
  3 0.125 978.65 318.773
  4 0.175 977.35 316.538
  5 0.225 979.41 322.797
  6 0.275 976.6 325.174
  7 0.325 979.88 321.853
  8 0.375 976.11 318.94
  9 0.425 980.73 316.637
  10 0.475 975.27 319.078
  11 0.525 982.56 320.968
  12 0.575 973.44 320.227
  13 0.625 981.19 312.149
  14 0.675 974.81 316.918
  15 0.725 978.43 314.494
  16 0.775 977.57 317.571
  17 0.825 978.3 320.187
  18 0.875 977.7 325.025
  19 0.925 978.09 323.102
  20 0.975 965.91 312.737
20960000 20
  1 0.025 965.43 318.356
  2 0.075 978.57 320.617
  3 0.125 977.66 324.765
  4 0.175 978.34 320.447
  5 0.225 976.99 321.83
  6 0.275 979.01 321.975
  7 0.325 974.47 322.842
  8 0.375 981.53 318.058
  9 0.425 973.21 317.066
  10 0.475 982.79 318.136
  11 0.525 974.23 319.242
  12 0.575 981.77 320.802
  13 0.625 975.79 318.085
  14 0.675 980.21 315.216
  15 0.725 976.54 312.837
  16 0.775 979.46 319.463
  17 0.825 977.26 322.516
  18 0.875 978.74 321.767
  19 0.925 977.49 320.519
  20 0.975 966.51 318.048
20970000 20
  1 0.025 966.65 321.777
  2 0.075 977.35 317.148
  3 0.125 979.13 317.842
  4 0.175 976.87 321.922
  5 0.225 979.75 328.331
  6 0.275 976.25 321.445
  7 0.325 980.73 317.302
  8 0.375 975.27 319.721
  9 0.425 981.57 323.874
  10 0.475 974.43 318.917
  11 0.525 982.65 318.964
  12 0.575 973.35 318.525
  13 0.625 981.48 316.698
  14 0.675 974.52 311.292
  15 0.725 978.78 315.016
  16 0.775 977.22 327.317
  17 0.825 978.39 322.523
  18 0.875 977.61 323.317
  19 0.925 978.49 321.803
  20 0.975 965.51 310.722
20980000 20
  1 0.025 965.14 324.527
  2 0.075 978.86 320.613
  3 0.125 977.87 316.673
  4 0.175 978.13 323.241
  5 0.225 976.36 321.733
  6 0.275 979.64 320.081
  7 0.325 973.75 319.037
  8 0.375 982.25 316.023
  9 0.425 973.31 322.932
  10 0.475 982.69 315.815
  11 0.525 973.84 319.526
  12 0.575 982.16 318.081
  13 0.625 974.64 320.936
  14 0.675 981.36 316.798
  15 0.725 975.85 316.45
  16 0.775 980.15 322.863
  17 0.825 976.44 322.424
  18 0.875 979.56 319.224
  19 0.925 977.21 318.85
  20 0.975 966.79 317.902
20990000 20
  1 0.025 966.69 322.146
  2 0.075 977.31 320.541
  3 0.125 978.59 322.076
  4 0.175 977.41 325.163
  5 0.225 979.33 315.953
  6 0.275 976.67 316.01
  7 0.325 979.86 321.109
  8 0.375 976.14 314.841
  9 0.425 981.11 317.962
  10 0.475 974.89 324.437
  11 0.525 982.31 324.231
  12 0.575 973.69 318.569
  13 0.625 981.49 316.658
  14 0.675 974.51 317.588
  15 0.725 978.5 315.981
  16 0.775 977.5 322.125
  17 0.825 977.7 319.673
  18 0.875 978.3 320.319
  19 0.925 977.36 317.229
  20 0.975 966.64 320.478
21000000 20
  1 0.025 965.52 316.636
  2 0.075 978.48 320.627
  3 0.125 977.7 323.916
  4 0.175 978.3 326.483
  5 0.225 976.39 314.711
  6 0.275 979.61 315.137
  7 0.325 973.93 312.532
  8 0.375 982.07 319.145
  9 0.425 973.38 321.77
  10 0.475 982.62 323.923
  11 0.525 973.65 325.656
  12 0.575 982.35 315.61
  13 0.625 974.54 317.808
  14 0.675 981.46 322.823
  15 0.725 975.7 314.479
  16 0.775 980.3 318.074
  17 0.825 976.28 324.346
  18 0.875 979.72 319.61
  19 0.925 976.91 321.899
  20 0.975 967.09 322.33
21010000 20
  1 0.025 966.78 319.727
  2 0.075 977.22 321.149
  3 0.125 978.98 320.058
  4 0.175 977.02 317.804
  5 0.225 979.55 320.041
  6 0.275 976.45 317.09
  7 0.325 980.71 317.209
  8 0.375 975.29 317.488
  9 0.425 981.61 318.079
  10 0.475 974.39 317.486
  11 0.525 982.34 321.116
  12 0.575 973.66 318.105
  13 0.625 981.08 320.324
  14 0.675 974.92 325.671
  15 0.725 978.99 327.609
  16 0.775 977.01 318.858
  17 0.825 977.93 321.386
  18 0.875 978.07 322.762
  19 0.925 977.45 319.785
  20 0.975 966.55 311.644
21020000 20
  1 0.025 966.3 314.324
  2 0.075 977.7 324.718
  3 0.125 977.59 320.187
  4 0.175 978.41 316.121
  5 0.225 976.81 324.279
  6 0.275 979.19 321.61
  7 0.325 974.08 320.868
  8 0.375 981.92 319.416
  9 0.425 973.62 317.401
  10 0.475 982.38 315.457
  11 0.525 974.32 315.234
  12 0.575 981.64 319.912
  13 0.625 975.17 321.636
  14 0.675 980.86 324.005
  15 0.725 976.54 319.68
  16 0.775 979.47 323.468
  17 0.825 976.59 320.972
  18 0.875 979.41 318.821
  19 0.925 977.21 325.201
  20 0.975 966.79 315.035
